,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,anlge_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
1703,T_prime,PdCCl,Pd,C,Cl,460617,6.554842177,3.277064902,19,90,90,119.929981,P 1,-27.07502589,2.700754719,0.70414,-5.88943,-1.91368,-1.92147,57.125856,21.142345,57.368239,21.142345,1.956840732,-16.25751458,-2.445028729,-2.447402506,0,7.008429,6.94362,1.290727,16.847567,16.151097,0.028376,-0.018025,-0.0203,0.374715,2.47126,2.43644,-0.146565,-2.453235,-2.416145,-0.228155,PdCC,PdClCl,3.026391506,-1.445920808,-1.445920808,3.026391506,1.91051937
1704,T_prime,PdCF,Pd,C,F,460609,6.300041429,3.148765852,19,90,90,119.9803923,P 1,-30.2851583,1.104977714,-0.37525,-2.29596,-2.6562,-2.65943,69.300562,23.268407,68.658305,23.268407,-0.815191033,-5.058306146,-2.869428091,-2.892989363,0,5.415643,5.413323,1.207511,3.974595,3.931231,0.022804,0.166005,0.16641,0.436345,2.08033,2.06069,-0.06071,-2.246335,-2.227095,-0.375635,PdCC,PdFF,3.026391506,-3.023729438,-3.023729438,3.026391506,1.10364668
1705,T_prime,PdCI,Pd,C,I,460653,6.577906078,3.226706451,19,90,90,122.2616805,P 1,-25.72597416,2.912396134,-20.40505,6.51985,-0.42446,-0.43472,35.254918,44.690736,79.223179,44.690736,216.2509917,18.88036129,-0.530935678,-0.350824199,0,67.209122,99.522473,1.684135,39.507012,9.992341,0.019394,-3.779555,-4.39427,0.060895,3.94557,3.909655,-0.0373,-0.166015,0.484615,-0.0236,PdCC,PdII,3.026391506,-0.973166943,-0.973166943,3.026391506,1.885783853
1706,T_prime,PdGeBr,Pd,Ge,Br,463235,7.688300734,3.853312877,19,90,90,119.4577143,P 1,-23.57541875,-0.567698393,-0.14459,5.19764,-1.16261,-1.14893,19.731937,25.019466,19.329175,25.019466,2.73454765,-91.34225297,-2.597929723,-2.590676905,0,4.247331,4.217074,1.336822,4.639406,4.291503,0.009354,-0.853615,-0.82358,0.10363,3.236205,3.235165,0.12422,-2.382585,-2.411585,-0.22785,PdGeGe,PdBrBr,0.011164507,-1.195485223,-1.195485223,0.011164507,0.024461965
1707,T_prime,PdGeCl,Pd,Ge,Cl,463217,7.378109854,3.463247276,19,90,90,114.5424385,P 1,-24.50999007,-0.747424353,0.82232,-1.0488,-1.68302,-1.57624,24.912686,15.959867,21.534562,15.959867,9.18503993,-18.81358532,-4.117726632,-4.203931203,0.19,6.831417,7.579859,1.361944,3.120178,5.207949,0.012945,-1.587345,-1.299985,0.090795,2.644595,2.95272,0.22861,-1.057255,-1.652735,-0.319405,PdGeGe,PdClCl,0.011164507,-1.445920808,-1.445920808,0.011164507,-0.030046203
1708,T_prime,PdGeF,Pd,Ge,F,463209,7.224950383,3.350622166,19,90,90,117.615022,P 1,-27.16382096,-2.065050598,2.18576,3.10498,-1.82533,-2.1185,41.664074,25.827327,29.793254,25.827327,13.80182433,78.29140577,-2.704537131,-3.808841911,0.32,6.568032,7.991571,1.292109,3.102807,3.789937,0.023469,-1.41305,-1.832195,0.197175,2.732635,2.99887,0.286605,-1.319585,-1.166675,-0.483785,PdGeGe,PdFF,0.011164507,-3.023729438,-3.023729438,0.011164507,-0.558768132
1709,T_prime,PdGeI,Pd,Ge,I,463253,7.979808531,3.994534352,19,90,90,119.8159487,P 1,-22.74339856,-0.327013048,-0.29887,5.43381,-0.6023,-0.59356,16.323337,34.33243,17.557007,34.33243,1.659550539,-32.3914932,-1.189005785,-1.143893698,0,5.114784,5.048752,1.367372,4.578228,4.299216,0.006968,-1.14055,-1.159845,0.077315,3.558385,3.559665,0.11797,-2.41783,-2.399825,-0.19529,PdGeGe,PdII,0.011164507,-0.973166943,-0.973166943,0.011164507,0.15398817
1710,T_prime,PdSiBr,Pd,Si,Br,461435,7.510283467,3.753029137,19,90,90,119.4593568,P 1,-24.88608143,-0.291986873,-0.12445,5.91375,-1.05773,-1.04557,18.926318,32.203176,16.367569,32.203176,0.937345266,-37.34463731,-2.06872769,-2.152674413,0,4.356337,4.3013,1.344885,5.783173,5.421436,0.010561,-0.721105,-0.708135,0.15625,3.185425,3.18516,0.091425,-2.46432,-2.47702,-0.247675,PdSiSi,PdBrBr,0.346327367,-1.195485223,-1.195485223,0.346327367,0.132592055
1711,T_prime,PdSiCl,Pd,Si,Cl,461417,7.386869374,3.37134647,19,90,90,115.9770939,P 1,-26.12914605,-0.625959483,0.82688,-0.58482,-1.31252,-1.29352,29.098937,24.46345,28.55795,24.46345,17.83803946,-14.28306265,-2.450450911,-2.43961872,0.23,6.753213,6.954902,1.363863,2.992061,2.574966,0.012601,-1.64304,-1.658525,0.138095,2.82453,2.786115,0.195535,-1.181495,-1.12758,-0.333625,PdSiSi,PdClCl,0.346327367,-1.445920808,-1.445920808,0.346327367,-0.076162763
1712,T_prime,PdSiF,Pd,Si,F,461409,7.111404361,3.295075704,19,90,90,117.6313757,P 1,-29.34224493,-2.223219723,0.29906,0.18525,-1.98474,-1.94541,43.81305,27.200856,31.709746,27.200856,1.800243845,4.108549998,-2.794861052,-3.30230881,0.22,6.684097,8.300361,1.291043,2.534142,2.233024,0.02215,-1.57296,-1.73179,0.234955,2.831935,2.852705,0.260745,-1.25898,-1.120915,-0.495695,PdSiSi,PdFF,0.346327367,-3.023729438,-3.023729438,0.346327367,-0.884518688
