,Unnamed: 0,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,angle_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
1053,1053,H,ReAsS,Re,As,S,753316-2,3.17,3.17,19.11,90.0,90.0,120.0,P 3 m 1,-22.05,-0.82,0.0,-4.93,0.55,0.55,120.87,33.24,120.87,33.24,0.0,-5.63,0.35,0.35,0.29,7.0,7.0,1.41,0.59,0.59,0.0,-2.38,-2.38,-0.23,1.78,1.78,0.19,0.6,0.6,0.05,ReAsAs,ReSS,0.23,-0.65,-0.65,0.23,-0.61
1054,1054,H,ReAsSe,Re,As,Se,753334-2,3.23,3.23,19.11,90.0,90.0,120.0,P 3 m 1,-21.02,-0.42,0.0,-6.06,0.51,0.51,105.57,28.4,105.57,28.4,0.0,-7.85,0.38,0.38,0.28,7.55,7.55,1.44,0.7,0.7,0.0,-2.7,-2.7,-0.25,1.68,1.68,0.19,1.02,1.02,0.06,ReAsAs,ReSeSe,0.23,-0.27,-0.27,0.23,-0.4
1055,1055,H,ReAsTe,Re,As,Te,753352-2,3.35,3.35,19.11,90.0,90.0,120.0,P 3 m 1,-19.88,0.36,,,,,86.5,24.49,86.5,24.49,,,,,0.04,9.25,9.25,1.48,0.87,0.87,0.0,-3.41,-3.42,-0.24,1.6,1.61,0.17,1.81,1.81,0.07,ReAsAs,ReTeTe,0.23,0.56,0.23,0.56,-0.04
1056,1056,H,ReBiO,Re,Bi,O,758308-2,3.18,3.18,19.11,90.0,90.0,120.0,P 3 m 1,-21.45,-0.63,,,,,137.47,47.52,137.47,47.52,,,,,0.0,8.89,8.89,1.37,2.48,2.48,0.01,-0.48,-0.48,0.2,2.61,2.61,0.13,-2.13,-2.13,-0.33,ReBiBi,ReOO,1.84,-3.68,-3.68,1.84,0.28
1057,1057,H,ReBiS,Re,Bi,S,758316-2,3.34,3.34,19.11,90.0,90.0,120.0,P 3 m 1,-20.29,0.14,,,,,98.49,39.58,98.49,39.58,,,,,0.0,9.79,9.79,1.46,1.87,1.87,0.0,-3.43,-3.43,-0.19,2.6,2.6,0.16,0.84,0.84,0.03,ReBiBi,ReSS,1.84,-0.65,-0.65,1.84,-0.45
1058,1058,H,ReBiSe,Re,Bi,Se,758334-2,3.41,3.41,19.11,90.0,90.0,120.0,P 3 m 1,-19.4,0.4,,,,,85.79,34.93,85.79,34.93,,,,,0.0,9.94,9.94,1.49,1.65,1.65,0.0,-3.62,-3.62,-0.24,2.51,2.51,0.17,1.11,1.11,0.07,ReBiBi,ReSeSe,1.84,-0.27,-0.27,1.84,-0.38
1059,1059,H,ReBiTe,Re,Bi,Te,758352-2,3.52,3.52,19.11,90.0,90.0,120.0,P 3 m 1,-18.48,0.96,,,,,68.42,30.4,68.42,30.4,,,,,0.0,11.47,11.47,1.54,1.7,1.7,0.0,-4.24,-4.24,-0.28,2.43,2.43,0.18,1.81,1.81,0.1,ReBiBi,ReTeTe,1.84,0.56,0.56,1.84,-0.24
1060,1060,H,ReNO,Re,N,O,750708-2,2.81,2.81,19.11,90.0,90.0,120.0,P 3 m 1,-27.13,-1.87,,,,,253.59,107.02,253.59,107.02,,,,,0.0,5.44,5.44,1.24,0.34,0.34,0.01,2.25,2.25,0.38,-1.64,-1.64,-0.12,-0.61,-0.61,-0.26,ReNN,ReOO,1.66,-3.68,-3.68,1.66,-0.86
1061,1061,H,ReNS,Re,N,S,750716-2,2.99,2.99,19.11,90.0,90.0,120.0,P 3 m 1,-24.71,0.17,,,,,170.63,79.44,170.63,79.44,,,,,0.0,6.59,6.59,1.31,0.75,0.75,0.01,0.82,0.82,0.4,-1.98,-1.98,-0.29,1.16,1.16,-0.1,ReNN,ReSS,1.66,-0.65,-0.65,1.66,-0.33
1062,1062,H,ReNSe,Re,N,Se,750734-2,3.06,3.06,19.11,90.0,90.0,120.0,P 3 m 1,-23.7,0.55,,,,,149.45,74.1,149.45,74.1,,,,,0.0,9.19,9.19,1.34,0.53,0.53,0.02,-0.31,-0.31,0.42,-1.01,-1.01,-0.34,1.32,1.32,-0.08,ReNN,ReSeSe,1.66,-0.27,-0.27,1.66,-0.14
1063,1063,H,ReNTe,Re,N,Te,750752-2,3.17,3.17,19.11,90.0,90.0,120.0,P 3 m 1,-22.63,1.26,,,,,130.54,75.66,130.54,75.66,,,,,0.0,14.19,14.19,1.38,7.82,7.81,0.0,-3.89,-3.89,0.21,0.26,0.26,-0.21,3.63,3.63,0.0,ReNN,ReTeTe,1.66,0.56,0.56,1.66,0.16
1064,1064,H,RePO,Re,P,O,751508-2,2.93,2.93,19.11,90.0,90.0,120.0,P 3 m 1,-24.94,-2.62,0.0,-5.24,1.19,1.19,182.43,47.77,182.43,47.77,0.0,-3.89,0.52,0.52,0.99,5.33,5.33,1.31,0.82,0.82,0.0,0.08,0.08,0.05,1.76,1.76,0.18,-1.84,-1.85,-0.23,RePP,ReOO,-0.01,-3.68,-3.68,-0.01,-0.78
1065,1065,H,RePS,Re,P,S,751516-2,3.11,3.11,19.11,90.0,90.0,120.0,P 3 m 1,-22.89,-0.95,0.0,-4.34,0.59,0.59,130.49,33.26,130.49,33.26,0.0,-4.47,0.36,0.36,0.62,6.51,6.51,1.4,0.33,0.33,0.0,-2.02,-2.02,-0.21,1.4,1.4,0.17,0.62,0.62,0.04,RePP,ReSS,-0.01,-0.65,-0.65,-0.01,-0.62
1066,1066,H,RePSe,Re,P,Se,751534-2,3.18,3.18,19.11,90.0,90.0,120.0,P 3 m 1,-21.83,-0.53,0.0,-4.54,0.55,0.55,114.75,28.8,114.75,28.8,0.0,-5.28,0.38,0.38,0.37,7.24,7.24,1.42,0.36,0.36,0.0,-2.32,-2.32,-0.17,1.24,1.24,0.14,1.08,1.08,0.03,RePP,ReSeSe,-0.01,-0.27,-0.27,-0.01,-0.38
1067,1067,H,RePTe,Re,P,Te,751552-2,3.29,3.29,19.11,90.0,90.0,120.0,P 3 m 1,-20.63,0.31,,,,,94.61,25.73,94.61,25.73,,,,,0.0,9.53,9.53,1.47,0.79,0.79,0.0,-3.12,-3.12,-0.07,1.19,1.2,0.05,1.92,1.92,0.02,RePP,ReTeTe,-0.01,0.56,-0.01,0.56,0.04
1068,1068,H,ReSbO,Re,Sb,O,755108-2,3.11,3.11,19.11,90.0,90.0,120.0,P 3 m 1,-22.39,-1.31,,,,,149.05,43.97,149.05,43.97,,,,,0.0,7.83,7.83,1.36,2.19,2.19,0.01,-0.37,-0.37,0.1,2.56,2.56,0.17,-2.19,-2.19,-0.27,ReSbSb,ReOO,1.07,-3.68,-3.68,1.07,-0.01
1069,1069,H,ReSbS,Re,Sb,S,755116-2,3.27,3.27,19.11,90.0,90.0,120.0,P 3 m 1,-21.0,-0.3,,,,,106.11,35.03,106.11,35.03,,,,,0.0,8.74,8.74,1.45,1.43,1.43,0.0,-3.12,-3.12,-0.24,2.44,2.44,0.19,0.68,0.68,0.05,ReSbSb,ReSS,1.07,-0.65,-0.65,1.07,-0.51
