,Unnamed: 0,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,angle_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
765,765,T,CrSnI,Cr,Sn,I,245053-1,3.64,3.64,19.15,90.0,90.0,120.0,P 3 m 1,-13.89,0.81,,,,,24.13,15.49,24.13,15.49,,,,,0.0,67.86,67.86,1.54,3.64,3.82,0.0,-2.72,-2.79,0.11,1.86,1.9,-0.0,0.86,0.89,-0.11,CrSnSn,CrII,1.55,-1.17,-1.17,1.55,0.62
766,766,T,MoCBr,Mo,C,Br,420635-1,3.36,3.36,19.15,90.0,90.0,120.0,P 3 m 1,-20.26,1.41,,,,,78.12,50.04,78.12,50.04,,,,,0.0,46.6,46.56,1.32,3.42,3.38,0.03,-5.98,-5.91,0.45,4.75,4.72,-0.28,1.22,1.18,-0.17,MoCC,MoBrBr,5.23,-0.55,-0.55,5.23,-0.93
767,767,T,MoCCl,Mo,C,Cl,420617-1,3.21,3.21,19.15,90.0,90.0,120.0,P 3 m 1,-21.01,0.95,,,,,96.83,37.13,96.83,37.13,,,,,0.0,23.76,23.76,1.29,235.43,235.32,0.01,8.86,8.86,0.32,-5.98,-5.98,-0.13,-2.88,-2.88,-0.2,MoCC,MoClCl,5.23,-1.49,-1.49,5.23,-0.92
768,768,T,MoCF,Mo,C,F,420609-1,3.08,3.08,19.15,90.0,90.0,120.0,P 3 m 1,-22.74,-0.77,,,,,84.09,43.72,84.09,43.72,,,,,0.0,10.37,10.37,1.21,14.07,14.09,0.02,6.37,6.37,0.46,-3.67,-3.67,-0.07,-2.69,-2.69,-0.39,MoCC,MoFF,5.23,-4.71,-4.71,5.23,-1.03
769,769,T,MoCI,Mo,C,I,420653-1,3.44,3.44,19.15,90.0,90.0,120.0,P 3 m 1,-19.45,2.05,,,,,110.81,58.38,110.81,58.38,,,,,0.0,41.36,41.36,1.36,0.23,0.19,0.01,0.01,-0.0,0.32,0.16,0.16,-0.23,-0.17,-0.16,-0.09,MoCC,MoII,5.23,0.3,0.3,5.23,-0.71
770,770,T,MoGeBr,Mo,Ge,Br,423235-1,3.09,3.09,19.15,90.0,90.0,120.0,P 3 m 1,-16.32,0.62,,,,,77.91,71.39,77.91,71.39,,,,,0.0,16.36,16.36,1.53,7.14,7.14,0.01,-1.68,-1.68,0.01,1.95,1.95,0.13,-0.27,-0.28,-0.14,MoGeGe,MoBrBr,0.83,-0.55,-0.55,0.83,0.48
771,771,T,MoGeCl,Mo,Ge,Cl,423217-1,3.0,3.0,19.15,90.0,90.0,120.0,P 3 m 1,-17.34,-0.11,,,,,117.85,46.11,117.85,46.11,,,,,0.0,19.2,19.2,1.49,6.22,6.22,0.01,-0.98,-0.98,0.07,1.99,1.99,0.13,-1.01,-1.02,-0.2,MoGeGe,MoClCl,0.83,-1.49,-1.49,0.83,0.22
772,772,T,MoGeF,Mo,Ge,F,423209-1,2.82,2.82,19.15,90.0,90.0,120.0,P 3 m 1,-19.27,-2.03,,,,,105.37,70.48,105.37,70.48,,,,,0.0,14.75,14.75,1.39,11.48,11.48,0.02,0.16,0.16,0.33,2.6,2.6,0.12,-2.76,-2.76,-0.45,MoGeGe,MoFF,0.83,-4.71,-4.71,0.83,-0.09
773,773,T,MoGeI,Mo,Ge,I,423253-1,3.64,3.64,19.15,90.0,90.0,120.0,P 3 m 1,-15.3,1.47,,,,,43.68,13.57,43.68,13.57,,,,,0.0,38.87,38.87,1.45,4.68,4.66,0.0,-3.37,-3.37,0.02,1.82,1.84,0.06,1.54,1.53,-0.07,MoGeGe,MoII,0.83,0.3,0.3,0.83,0.9
774,774,T,MoSiBr,Mo,Si,Br,421435-1,3.44,3.44,19.15,90.0,90.0,120.0,P 3 m 1,-16.83,1.05,,,,,0.71,93.55,0.71,93.55,,,,,0.0,48.74,48.74,1.41,2.93,3.0,0.0,-6.39,-6.4,0.08,4.05,4.09,0.05,2.35,2.31,-0.14,MoSiSi,MoBrBr,1.21,-0.55,-0.55,1.21,0.72
