,Unnamed: 0.1,Unnamed: 0,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,angle_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
1577,1577,1577,T',PdOCl,Pd,O,Cl,460817-3,7.28,3.11,19,90,90,115.33,P 1,-25.2,-1.07,0.77,1.28,0.28,0.5,33.68,6.26,53.77,6.26,2.81,2.7,0.71,0.83,0.61,4.26,4.14,1.25,0.56,0.58,0.01,1.63,1.8,0.31,-0.5,-0.62,-0.15,-1.12,-1.18,-0.16,PdOO,PdClCl,-2.05,-1.45,-2.05,-1.45,0.68
1578,1578,1578,T',PdOF,Pd,O,F,460809-3,6.9,2.99,19,90,90,115.7,P 1,-28.08,-2.5,-0.9,0.18,-0.49,-0.54,42.44,14.71,64.84,14.71,-3.23,0.37,-0.86,-0.68,0.53,3.36,3.55,1.18,0.69,0.66,0.02,1.9,2.42,0.44,-0.24,-0.62,-0.14,-1.66,-1.8,-0.3,PdOO,PdFF,-2.05,-3.02,-3.02,-2.05,0.03
1579,1579,1579,T',PdOI,Pd,O,I,460853-3,6.89,3.3,19,90,90,118.6,P 1,-23.15,-0.51,,,,,6.91,-13.02,29.0,-13.02,,,,,0.0,8.48,15.15,1.45,1.7,1.04,0.04,1.06,0.38,0.3,-0.83,-0.73,-0.25,-0.23,0.35,-0.06,PdOO,PdII,-2.05,-0.97,-2.05,-0.97,1.0
1580,1580,1580,T',PdSBr,Pd,S,Br,461635-3,8.02,3.46,19,90,90,115.55,P 1,-22.94,-0.61,4.15,3.05,-0.68,-0.55,15.92,5.15,36.19,5.15,38.54,9.81,-3.21,-1.34,0.49,4.37,5.08,1.32,2.38,2.06,0.01,0.78,0.77,0.11,0.69,0.81,0.04,-1.47,-1.58,-0.15,PdSS,PdBrBr,-0.5,-1.2,-1.2,-0.5,0.24
1581,1581,1581,T',PdSCl,Pd,S,Cl,461617-3,7.79,3.38,19,90,90,115.73,P 1,-23.94,-0.82,2.92,2.56,-1.01,-0.95,19.14,5.59,38.77,5.59,21.54,7.71,-4.07,-2.13,0.51,3.89,4.49,1.3,2.04,1.9,0.01,0.94,0.88,0.14,0.62,0.85,0.05,-1.56,-1.74,-0.2,PdSS,PdClCl,-0.5,-1.45,-1.45,-0.5,0.15
1582,1582,1582,T',PdSF,Pd,S,F,461609-3,7.13,3.24,19,90,90,117.05,P 1,-26.47,-2.08,-0.88,0.9,-1.69,-1.95,34.76,18.13,50.69,18.13,-5.28,2.76,-3.19,-2.84,0.39,5.04,4.85,1.24,2.86,2.49,0.02,1.6,1.05,0.28,0.32,0.96,0.05,-1.91,-2.01,-0.33,PdSS,PdFF,-0.5,-3.02,-3.02,-0.5,-0.32
1583,1583,1583,T',PdSI,Pd,S,I,461653-3,8.41,3.62,19,90,90,115.45,P 1,-21.95,-0.29,5.9,3.53,-0.23,-0.06,13.35,5.27,32.72,5.27,72.99,12.86,-1.25,-0.16,0.38,5.67,6.46,1.35,2.87,2.33,0.01,0.48,0.65,0.07,0.76,0.58,0.03,-1.24,-1.23,-0.09,PdSS,PdII,-0.5,-0.97,-0.97,-0.5,0.45
1584,1584,1584,T',PdSeBr,Pd,Se,Br,463435-3,7.68,3.57,19,90,90,117.72,P 1,-22.0,-0.77,,,,,23.76,9.73,34.62,9.73,,,,,0.09,10.32,9.33,1.36,9.18,4.38,0.01,0.84,-0.0,0.09,1.53,1.63,0.07,-2.36,-1.62,-0.16,PdSeSe,PdBrBr,-0.75,-1.2,-1.2,-0.75,0.2
1585,1585,1585,T',PdSeCl,Pd,Se,Cl,463417-3,7.9,3.5,19,90,90,116.31,P 1,-22.98,-0.97,2.94,3.37,-1.19,-1.2,17.3,6.07,33.69,6.07,26.18,12.19,-5.09,-3.03,0.31,4.41,5.21,1.32,2.47,3.02,0.01,0.87,0.82,0.12,0.77,1.04,0.08,-1.64,-1.86,-0.2,PdSeSe,PdClCl,-0.75,-1.45,-1.45,-0.75,0.13
1586,1586,1586,T',PdSeF,Pd,Se,F,463409-3,7.18,3.35,19,90,90,117.9,P 1,-25.29,-2.12,,,,,17.22,12.3,34.91,12.3,,,,,0.0,11.19,8.59,1.26,5.01,5.59,0.03,1.77,0.89,0.27,0.4,1.2,0.07,-2.17,-2.09,-0.34,PdSeSe,PdFF,-0.75,-3.02,-3.02,-0.75,-0.23
